normalized_area,display_area,total_appearances,member_count,member_names
i work on multidisciplinary teams and prioritize the development of future clinical scientists,"i work on multidisciplinary teams, and prioritize the development of future clinical scientists",1,1,Jillian Miller
child outcomes,child outcomes,1,1,Joanne Park
drawing from various models of social cognition,drawing from various models of social cognition,1,1,Joanne Park
experimental designs,experimental designs,1,1,Joanne Park
resilience factors associated with child,resilience factors associated with child,1,1,Joanne Park
encompassing family level factors alongside other sociodemographic,encompassing family-level factors alongside other sociodemographic,1,1,Joanne Park
observational paradigms experimental designs longitudinal data analysis and meta analytic reviews,"observational paradigms, experimental designs, longitudinal data analysis, and meta-analytic reviews",1,1,Joanne Park
namely optical coherence tomography metrics,namely optical coherence tomography metrics,1,1,Jodie Burton
additional endpoints include conversion to clinically definite ms,additional endpoints include conversion to clinically definite ms,1,1,Jodie Burton
advanced mri measures,advanced mri measures,1,1,Jodie Burton
registry based evaluation of neuromyelitis optica spectrum disorder,registry-based evaluation of neuromyelitis optica spectrum disorder,1,1,Jodie Burton
mog associated disease in alberta,mog associated disease in alberta,1,1,Jodie Burton
autophagy in the transition to progressive multiple sclerosis,autophagy in the transition to progressive multiple sclerosis,1,1,Jodie Burton
autoimmune encephalitis,autoimmune encephalitis,1,1,Jodie Roberts
computational neuroscience the critical brain,computational neuroscience & the critical brain,1,1,Joern Davidsen
mental health strategy,mental health strategy,1,1,Joern Davidsen
imaging based outcome prediction,imaging-based outcome prediction,1,1,Johanna Ospel
neck angiogram imaging in the province of alberta,neck angiogram imaging in the province of alberta,1,1,Johanna Ospel
effector cells,effector cells,1,1,Johnathan Canton
cell science,cell science,1,1,Johnathan Canton
approach has been instrumental in unravelling the biophysical interactions,approach has been instrumental in unravelling the biophysical interactions,1,1,Johnathan Canton
in neurology in new york,in neurology in new york,1,1,John (Gregory) Cairncross
he founded the brain tumor,he founded the brain tumor,1,1,John (Gregory) Cairncross
type of brain cancer,type of brain cancer,1,1,John (Gregory) Cairncross
vascular malformations,vascular malformations,1,1,John Wong
examining how this occurs at the cellular,examining how this occurs at the cellular,1,1,Jonathan Epp
exploring how adult neurogenesis balances memory,exploring how adult neurogenesis balances memory,1,1,Jonathan Epp
circuit stability versus learning,circuit stability versus learning,1,1,Jonathan Epp
such as neurons,such as neurons,1,1,Jonathan Lytton
nckx4 member of the family,nckx4 member of the family,1,1,Jonathan Lytton
dental health,dental health,1,1,Jonathan Lytton
feeding behaviour as well as neurodegenerative pathological states,feeding behaviour as well as neurodegenerative pathological states,1,1,Jonathan Lytton
physiological techniques,physiological techniques,1,1,Jonathan Lytton
roles in cardiovascular,roles in cardiovascular,1,1,Jonathan Lytton
neuronal biology,neuronal biology,1,1,Jonathan Lytton
olfaction vision dental health feeding behaviour,"olfaction, vision, dental health, feeding behaviour",1,1,Jonathan Lytton
u of c initiative researches concussions,u of c initiative researches concussions,1,1,Jonathan Smirl
u of c initiative researches concussions and sports injuries in alberta youth,u of c initiative researches concussions and sports injuries in alberta youth,1,1,Jonathan Smirl
sports injuries in alberta youth,sports injuries in alberta youth,1,1,Jonathan Smirl
branch out neurological foundation,branch out neurological foundation,1,1,Jonathan Smirl
brain canada concussion research granr,brain canada - concussion research granr,1,1,Jonathan Smirl
hearing and its disorders,hearing and its disorders,1,1,Jos Jan Eggermont
electrophysiology of the auditory system,electrophysiology of the auditory system,1,1,Jos Jan Eggermont
experience dependent developmental,experience dependent developmental,1,1,Jos Jan Eggermont
brain oscillations,brain oscillations,1,1,Jos Jan Eggermont
application to auditory related disorders,application to auditory-related disorders,1,1,Jos Jan Eggermont
clinical implications,clinical implications,1,1,Jos Jan Eggermont
predictive coding from cocktail parties to auditory related disorders,predictive coding from cocktail parties to auditory-related disorders,1,1,Jos Jan Eggermont
experience dependent developmental and adult plasticity academic press london eggermont jj,"experience dependent developmental and adult plasticity, academic press, london eggermont jj",1,1,Jos Jan Eggermont
experience dependent developmental and adult plasticity academic press london,"experience dependent developmental and adult plasticity, academic press, london",1,1,Jos Jan Eggermont
health of all women,health of all women,1,1,Julia Hews-Girard
integrated care models focusing on integrating mental,integrated care models – focusing on integrating mental,1,1,Julia Hews-Girard
physical health in a sustainable,physical health in a sustainable,1,1,Julia Hews-Girard
youth friendly manner,youth-friendly manner –,1,1,Julia Hews-Girard
improving transitions between pediatric,improving transitions between pediatric,1,1,Julia Hews-Girard
improving outcome and,improving outcome and,1,1,Julia Jacobs-Levan
outcome prediction in children with rare,outcome prediction in children with rare,1,1,Julia Jacobs-Levan
difficult to treat epilepsy,difficult to treat epilepsy,1,1,Julia Jacobs-Levan
improving outcome,improving outcome,1,1,Julia Jacobs-Levan
internal attention,internal attention,1,1,Julia Kam
mental healthcare quality,mental healthcare quality,1,1,Julia Kirkham
quality improvement in geriatric mental health including examining,quality improvement in geriatric mental health including examining,1,1,Julia Kirkham
improving access to healthcare,improving access to healthcare,1,1,Julia Kirkham
mental healthcare,mental healthcare,1,1,Julia Kirkham
examining and improving access to healthcare equitability and safety,"examining and improving access to healthcare, equitability, and safety",1,1,Julia Kirkham
are in quality improvement in geriatric mental health,are in quality improvement in geriatric mental health,1,1,Julia Kirkham
ltc homes must prioritize residents mental health,ltc homes must prioritize residents' mental health,1,1,Julia Kirkham
ltc homes must prioritize residents mental health treat disorders standards group,"ltc homes must prioritize residents' mental health, treat disorders: standards group",1,1,Julia Kirkham
treat disorders standards group,treat disorders: standards group,1,1,Julia Kirkham
sound guided neural plasticity for auditory learning,sound-guided neural plasticity for auditory learning,1,1,Jun Yan
pharmacological approaches,pharmacological approaches,1,1,Jun Yan
s disease,s disease,1,1,Justyna Sarna
all aspects of parkinson s disease,all aspects of parkinson’s disease,1,1,Justyna Sarna
behavioural outcomes of children with developmental,behavioural outcomes of children with developmental,1,1,Kara Murias
neurological conditions,neurological conditions,1,1,Kara Murias
genetics of epilepsy,genetics of epilepsy,1,1,Karl Klein
precision medicine in epilepsy,precision medicine in epilepsy,1,1,Karl Klein
brain somatic variatis causing epilepsy,brain somatic variatis causing epilepsy,1,1,Karl Klein
epilepsy genetics,epilepsy genetics,1,1,Karl Klein
multiplex families with epilepsy as well as adult,multiplex families with epilepsy as well as adult,1,1,Karl Klein
pediatric patients with epileptic encephalopathies,pediatric patients with epileptic encephalopathies,1,1,Karl Klein
research genetics of epilepsy,research genetics of epilepsy,1,1,Karl Klein
rational antiepileptic drug selection by combining gene network,rational antiepileptic drug selection by combining gene network,1,1,Karl Klein
gut brain communication,gut-brain communication,1,1,Karolina Skibicka
optical instrumentation,optical instrumentation,1,1,Kartikeya Murari
optical tools,optical tools,1,1,Kartikeya Murari
mental health across different stages of life,mental health across different stages of life,1,1,Katherine Bright
emerging trauma therapy including multi modal,emerging trauma therapy including multi-modal,1,1,Katherine Bright
neurochemicals and brain function in psychiatry,neurochemicals and brain function in psychiatry,1,1,Katherine Rittenbach
administrative data research in mental health,administrative data research in mental health,1,1,Katherine Rittenbach
i moved into clinical research,i moved into clinical research,1,1,Katherine Rittenbach
managing multiple national health canada approved double blind,managing multiple national health canada approved double-blind,1,1,Katherine Rittenbach
randomized clinical studies,randomized clinical studies,1,1,Katherine Rittenbach
outcomes from the system,outcomes from the system,1,1,Katherine Rittenbach
experimental medicine,experimental medicine,1,1,Katherine Wynne-Edwards
marcello tonelli,marcello tonelli,1,1,Katherine Wynne-Edwards
lawrence wawrzyniec korngut,lawrence wawrzyniec korngut,1,1,Katherine Wynne-Edwards
concussion history following pediatric sport related concussion,concussion history following pediatric sport- related concussion,1,1,Katherine Wynne-Edwards
maternal and infant mental health and wellbeing,maternal and infant mental health and wellbeing,1,1,Kathleen Chaput
maternal perinatal mental health,maternal perinatal mental health,1,1,Kathleen Chaput
infant neurodevelopment,infant neurodevelopment,1,1,Kathleen Chaput
infant mental health,infant mental health,1,1,Kathleen Chaput
research maternal and infant mental health and wellbeing,research maternal and infant mental health and wellbeing,1,1,Kathleen Chaput
postdoctoral fellows in community health sciences,postdoctoral fellows in community health sciences,1,1,Kathryn Birnie
patient partners youth family members,"patient partners (youth, family members)",1,1,Kathryn Birnie
cervical spine and balance systems,cervical spine and balance systems,1,1,Kathryn Schneider
sensory function following a concussion,sensory function following a concussion,1,1,Kathryn Schneider
4 optimizing rehabilitation techniques to enhance recovery,(4) optimizing rehabilitation techniques to enhance recovery,1,1,Kathryn Schneider
inform clinical care,inform clinical care,1,1,Kathryn Schneider
ultimately enabling clinically meaningful questions to be evaluated,ultimately enabling clinically meaningful questions to be evaluated,1,1,Kathryn Schneider
online concussion course teaches a free,online concussion course teaches a free,1,1,Kathryn Schneider
manage concussions,manage concussions,1,1,Kathryn Schneider
physiotherapy within a multidisciplinary,physiotherapy within a multidisciplinary,1,1,Kathryn Schneider
projects online concussion course teaches a free,projects online concussion course teaches a free,1,1,Kathryn Schneider
online concussion course,online concussion course,1,1,Kathryn Schneider
online course on concussion,online course on concussion,1,1,Kathryn Schneider
examining sport concussion assessment tool ratings for a pee wee hockey cohort,examining sport concussion assessment tool ratings for a pee wee hockey cohort,1,1,Kathryn Schneider
evidence informed policy change in youth sport preventing concussions in youth ice hockey,evidence-informed policy change in youth sport: preventing concussions in youth ice hockey,1,1,Kathryn Schneider
sport concussion assessment tool,sport concussion assessment tool,1,1,Kathryn Schneider
test retest reliability in elite youth ice hockey,test-retest reliability in elite youth ice hockey,1,1,Kathryn Schneider
baseline sport concussion assessment tool scat ratings in youth ice hockey players,baseline sport concussion assessment tool (scat) ratings in youth ice hockey players,1,1,Kathryn Schneider
health promotion,health promotion,1,1,Kathryn Schneider
prevention and health promotion,prevention and health promotion,1,1,Kathryn Schneider
without a previous history of concussion w meeuwisse,without a previous history of concussion?. w meeuwisse,1,1,Kathryn Schneider
without a previous history of concussion,without a previous history of concussion?,1,1,Kathryn Schneider
enteric nervous system,enteric nervous system,1,1,Keith Alexander Sharkey
gut brain axis,gut-brain axis,1,1,Keith Alexander Sharkey
brain gut interactions in health,brain-gut interactions in health,1,1,Keith Alexander Sharkey
inflammatory bowel disease,inflammatory bowel disease,1,1,Keith Alexander Sharkey
intestinal barrier function in health,intestinal barrier function in health,1,1,Keith Alexander Sharkey
but their physiology remains to be fully determined,but their physiology remains to be fully determined,1,1,Keith Alexander Sharkey
enteroendocrine cells,enteroendocrine cells,1,1,Keith Alexander Sharkey
molecular genetics,molecular genetics,1,1,Keith Alexander Sharkey
link between gut bacteria,link between gut bacteria,1,1,Keith Alexander Sharkey
glymphatics in neurodegeneration also with g,glymphatics in neurodegeneration (also with g,1,1,Keith Alexander Sharkey
elinav brain canada weizmann institute team grant,elinav) (brain canada-weizmann institute team grant),1,1,Keith Alexander Sharkey
endocannabinoid system of the gut brain axis,endocannabinoid system of the gut brain axis,1,1,Keith Alexander Sharkey
enteric nervous system in gi pathophysiology,enteric nervous system in gi pathophysiology,1,1,Keith Alexander Sharkey
in the news gut microbiota,in the news gut microbiota,1,1,Keith Alexander Sharkey
gastrointestinal microbiota health linked to enteric nervous system,gastrointestinal microbiota health linked to enteric nervous system,1,1,Keith Alexander Sharkey
books and book chapters the fundamental cognitive model,books and book chapters the fundamental cognitive model,1,1,Keith Stephen Dobson
fundamental cognitive model,fundamental cognitive model,1,1,Keith Stephen Dobson
fundamental cognitive model keith stephen dobson,fundamental cognitive model. . keith stephen dobson,1,1,Keith Stephen Dobson
adverse childhood experiences and their long term implications for the prevention of adult health problems,adverse childhood experiences and their long-term implications for the prevention of adult health problems,1,1,Keith Stephen Dobson
inquiring mind a new program to address mental health in post secondary settings,inquiring mind: a new program to address mental health in post secondary settings,1,1,Keith Stephen Dobson
promoting mental health in the workplace,promoting mental health in the workplace,1,1,Keith Stephen Dobson
mild traumatic brain injury tbi,mild traumatic brain injury (tbi),1,1,Keith Yeates
childhood brain injury,childhood brain injury,1,1,Keith Yeates
family systems,family systems,1,1,Kelly Dean Schwartz
positive youth development,positive youth development,1,1,Kelly Dean Schwartz
international child development,international child development,1,1,Kelly Dean Schwartz
international community development,international community development,1,1,Kelly Dean Schwartz
family psychology,family psychology,1,1,Kelly Dean Schwartz
media studies and literacy,media studies and literacy,1,1,Kelly Dean Schwartz
child and family stress,child and family stress,1,1,Kelly Dean Schwartz
developmental assets,developmental assets,1,1,Kelly Dean Schwartz
psychosocial factors contributing to child,psychosocial factors contributing to child,1,1,Kelly Dean Schwartz
family development,family development,1,1,Kelly Dean Schwartz
social contexts,social contexts,1,1,Kelly Dean Schwartz
screening student resiliency and mental health indicators during school re entry,screening student resiliency and mental health indicators during school re-entry,1,1,Kelly Dean Schwartz
170 329 child health and wellness grand challenge catalyst grant achri,"($170,329) child health and wellness grand challenge catalyst grant (achri",1,1,Kelly Dean Schwartz
covid 19 variant supplement screening student resiliency and mental health indicators during school re entry,covid-19 variant supplement - screening student resiliency and mental health indicators during school re-entry,1,1,Kelly Dean Schwartz
49 063 canadian insititutes of military and veteran health research cimvhr,"($49,063) canadian insititutes of military and veteran health research (cimvhr",1,1,Kelly Dean Schwartz
supporting psychological health in first responders sphifr,supporting psychological health in first responders (sphifr,1,1,Kelly Dean Schwartz
support for youth living in police families 163 830,"support for youth living in police families. ($163,830)",1,1,Kelly Dean Schwartz
canadian institutes of health research team grant cihr,canadian institutes of health research team grant (cihr,1,1,Kelly Dean Schwartz
decision making among canadian youth survey,decision-making among canadian youth: survey,1,1,Kelly Dean Schwartz
intervention development 170 329,"intervention development. ($170,329)",1,1,Kelly Dean Schwartz
social policy,social policy,1,1,Kelly Dean Schwartz
service delivery with child health,service delivery with child health,1,1,Kelly Dean Schwartz
child health and wellness grand challenge catalyst grant achri,child health and wellness grand challenge catalyst grant (achri,1,1,Kelly Dean Schwartz
veteran health research cimvhr,veteran health research (cimvhr,1,1,Kelly Dean Schwartz
canadian insititutes of military and veteran health research cimvhr,canadian insititutes of military and veteran health research (cimvhr,1,1,Kelly Dean Schwartz
journal of military and veterans health,journal of military and veterans’ health,1,1,Kelly Dean Schwartz
journal of military veteran and family health 7 1,"journal of military, veteran and family health, 7(1)",1,1,Kelly Dean Schwartz
jmir mental health 8 9,"jmir mental health, 8(9)",1,1,Kelly Dean Schwartz
military behavioral health,military behavioral health,1,1,Kelly Dean Schwartz
journal of military veteran and family health 2 2,"journal of military, veteran and family health, 2(2)",1,1,Kelly Dean Schwartz
youth health,youth health,1,1,Kelly Dean Schwartz
cultivating family resiliency in the context of military to civilian transition and mental health problems,cultivating family resiliency in the context of military-to-civilian transition and mental health problems,1,1,Kelly Dean Schwartz
student well being stress,student well-being: stress,1,1,Kelly Dean Schwartz
mental health during return to school schwartz,mental health during return-to-school. . schwartz,1,1,Kelly Dean Schwartz
covid 19 and student well being stress and mental health during return to school,covid-19 and student well-being: stress and mental health during return-to-school,1,1,Kelly Dean Schwartz
mental health during return to school,mental health during return-to-school,1,1,Kelly Dean Schwartz
family health,family health,1,1,Kelly Dean Schwartz
p jmir mental health,p. . jmir mental health,1,1,Kelly Dean Schwartz
how military life affects us all the mental health of military children,how military life affects us all: the mental health of military children,1,1,Kelly Dean Schwartz
adolescent wellbeing student stress,adolescent wellbeing: student stress,1,1,Kelly Dean Schwartz
resilience during a pandemic,resilience during a pandemic,1,1,Kelly Dean Schwartz
covid 19 and adolescent wellbeing student stress mental health and resilience during a pandemic,"covid-19 and adolescent wellbeing: student stress, mental health, and resilience during a pandemic",1,1,Kelly Dean Schwartz
student health and wellbeing during a pandemic,student health and wellbeing during a pandemic,1,1,Kelly Dean Schwartz
student health,student health,1,1,Kelly Dean Schwartz
student mental health in metropolitan school districts,student mental health in metropolitan school districts,1,1,Kelly Dean Schwartz
school reopening and student mental health in metropolitan school districts,school reopening and student mental health in metropolitan school districts,1,1,Kelly Dean Schwartz
lived experience of first responder families risks of stress mental illness and familial conflict,"lived experience of first responder families: risks of stress, mental illness, and familial conflict",1,1,Kelly Dean Schwartz
policy development k smith evans,policy development.. k . smith-evans,1,1,Kelly Dean Schwartz
military to civilian transition implications for program and policy development,military-to-civilian transition: implications for program and policy development,1,1,Kelly Dean Schwartz
policy development,policy development,1,1,Kelly Dean Schwartz
veterans with mental health problems,veterans with mental health problems,1,1,Kelly Dean Schwartz
military strong canadian armed forces families veterans with mental health problems and military to civilian transition,"military strong: canadian armed forces families, veterans with mental health problems,and military-to-civilian transition",1,1,Kelly Dean Schwartz
exploring self compassion as a developmental strength,exploring self-compassion as a developmental strength,1,1,Kelly Dean Schwartz
social media adolescent mental health and the school psychologist,"social media, adolescent mental health, and the school psychologist",1,1,Kelly Dean Schwartz
qualitative study on mental health of military families in transition to civilian life,qualitative study on mental health of military families in transition to civilian life,1,1,Kelly Dean Schwartz
military parent mental health,military parent mental health,1,1,Kelly Dean Schwartz
military parent mental health and child functioning,military parent mental health and child functioning,1,1,Kelly Dean Schwartz
resilience in military children developmental strengths,resilience in military children: developmental strengths,1,1,Kelly Dean Schwartz
resilience in military children developmental strengths and school performance,resilience in military children: developmental strengths and school performance,1,1,Kelly Dean Schwartz
examining the developmental strengths ofchildren from military families,examining the developmental strengths ofchildren from military families,1,1,Kelly Dean Schwartz
resilience during school re entry schwartz,resilience during school re-entry . schwartz,1,1,Kelly Dean Schwartz
review of mental health support for veteran families a demographic profile,review of mental health support for veteran families: a demographic profile,1,1,Kelly Dean Schwartz
in the news now innovating supporting the mental health of first responder families,in the news now innovating: supporting the mental health of first responder families,1,1,Kelly Dean Schwartz
now innovating supporting the mental health of first responder families,now innovating: supporting the mental health of first responder families,1,1,Kelly Dean Schwartz
therapeutic effectiveness,therapeutic effectiveness,1,1,Kelly Larkin-Kaiser
neuroscience and rehabilitation,neuroscience and rehabilitation,1,1,Kelly Larkin-Kaiser
behavioural ecology of stress,behavioural ecology of stress,1,1,Kenneth Lukowiak
suppress ltm formation depending on bothe the stressor,suppress ltm formation depending on bothe the stressor,1,1,Kenneth Lukowiak
patan academy of health sciences in kathmandu,patan academy of health sciences in kathmandu,1,1,Kenneth Lukowiak
behavioural ecology of stress activities dr,behavioural ecology of stress activities dr,1,1,Kenneth Lukowiak
configural learning,configural learning,1,1,Kenneth Lukowiak
lymnaea stagnalis stress can either enhance,lymnaea stagnalis . stress can either enhance,1,1,Kenneth Lukowiak
projects stress learning and memory,"projects stress, learning and memory",1,1,Kenneth Lukowiak
configural learning and transforming a predator naive strain into a predator experienced strain,configural learning and transforming a predator-naive strain into a predator-experienced strain,1,1,Kenneth Lukowiak
stress learning and memory,"stress, learning and memory",1,1,Kenneth Lukowiak
2 assessment of student trainee competency development across the health care continuum,2) assessment of student/trainee competency development across the health care continuum,1,1,Kenton Hecker
cost effectiveness analysis of workplace based distributed cpr training in pediatric healthcare providers,cost-effectiveness analysis of workplace-based distributed cpr training in pediatric healthcare providers,1,1,Kenton Hecker
mental health research,mental health research,1,1,Kimberley Smaniotto - Holmes
learning with regard to learner profile,learning with regard to learner profile,1,1,Kimberley Smaniotto - Holmes
mindfulness in curriculum and learning,mindfulness in curriculum and learning,1,1,Kimberley Smaniotto - Holmes
projects mindfulness and holistic well being in curriculum teaching and learning dr,projects mindfulness and holistic well-being in curriculum teaching and learning dr,1,1,Kimberley Smaniotto - Holmes
specific interest is the nexus between mindfulness and interdisciplinary literacy development,specific interest is the nexus between mindfulness and interdisciplinary literacy development,1,1,Kimberley Smaniotto - Holmes
mindfulness and holistic well being in curriculum teaching and learning dr,mindfulness and holistic well-being in curriculum teaching and learning dr,1,1,Kimberley Smaniotto - Holmes
mindfulness and holistic well being in curriculum teaching and learning,mindfulness and holistic well-being in curriculum teaching and learning,1,1,Kimberley Smaniotto - Holmes
reflective learning journey with second year teachers,reflective learning journey with second year teachers,1,1,Kimberley Smaniotto - Holmes
neuroendocrine tumours gastroenteropancreatic,neuroendocrine tumours (gastroenteropancreatic),1,1,Kirstie Lithgow
patient reported outcomes included treatment susceptibility,patient reported outcomes included treatment susceptibility,1,1,Kirstie Lithgow
neuroendocrine tumours,neuroendocrine tumours,1,1,Kirstie Lithgow
improving care for patients impacted by endocrine cancer,improving care for patients impacted by endocrine cancer,1,1,Kirstie Lithgow
eating disorders and body image,eating disorders and body image,1,1,Kristin von Ranson
and childhood externalizing disorders,and childhood externalizing disorders),1,1,Kristin von Ranson
maintenance factors for eating disorders across the lifespan,maintenance factors for eating disorders across the lifespan,1,1,Kristin von Ranson
in the eating behaviours lab,in the eating behaviours lab,1,1,Kristin von Ranson
particularly behavioural addictions,particularly behavioural addictions,1,1,Kristin von Ranson
research involves pre teen adolescent and adult patients and community members,"research involves pre-teen, adolescent, and adult patients and community members",1,1,Kristin von Ranson
related long term neurodevelopmental outcomes in vulnerable preterm infants,related long-term neurodevelopmental outcomes in vulnerable preterm infants,1,1,Lara Leijser
brain imaging,brain imaging,1,1,Lara Leijser
identification of early clinical,identification of early clinical,1,1,Lara Leijser
brain injury and development,brain injury and development,1,1,Lara Leijser
brain injury and development preterm birth neuro imaging neurodevelopment my research focuses on advancing the,"brain injury and development, preterm birth, neuro-imaging, neurodevelopment my research focuses on advancing the",1,1,Lara Leijser
brain injury and development preterm birth neuro imaging neurodevelopment,"brain injury and development, preterm birth, neuro-imaging, neurodevelopment",1,1,Lara Leijser
experimental platforms for hifu,experimental platforms for hifu,1,1,Laura Curiel
design of new therapeutic devices,design of new therapeutic devices,1,1,Laura Curiel
collecting real world health data,collecting real world health data,1,1,Lawrence Korngut
research is focused on accelerating the development of new therapies for several neuromuscular diseases,research is focused on accelerating the development of new therapies for several neuromuscular diseases,1,1,Lawrence Korngut
program focuses on collecting real world health data,program focuses on collecting real world health data,1,1,Lawrence Korngut
calgary neuromuscular program,calgary neuromuscular program,1,1,Lawrence Korngut
department of clinical neurosciences,department of clinical neurosciences,1,1,Lawrence Korngut
calgary als motor neuron disease clinic,calgary als & motor neuron disease clinic,1,1,Lawrence Korngut
korngut led the formation,korngut led the formation,1,1,Lawrence Korngut
canadian neuromuscular disease registry cndr,canadian neuromuscular disease registry (cndr),1,1,Lawrence Korngut
uceed neuro,uceed neuro,1,1,Lawrence Korngut
korngut co founded lumiio,korngut co-founded lumiio,1,1,Lawrence Korngut
spinal muscular atrophy,spinal muscular atrophy,1,1,Lawrence Korngut
korngut has been recognized for his contributions,korngut has been recognized for his contributions,1,1,Lawrence Korngut
such as substance use disorders,such as substance use disorders,1,1,Leah Mayo
psychedelic based therapeutic opportunities,psychedelic-based therapeutic opportunities,1,1,Leah Mayo
gaining mechanistic insight into stress,gaining mechanistic insight into stress,1,1,Leah Mayo
social processing in healthy,social processing in healthy,1,1,Leah Mayo
clinical populations,clinical populations,1,1,Leah Mayo
are psychedelics the future of mental health,are psychedelics the future of mental health?,1,1,Leah Mayo
nutrition in promoting maternal health,nutrition in promoting maternal health,1,1,Leticia Radin Pereira
diet maternal health nutrition obesity dr,"diet, maternal health, nutrition, obesity dr",1,1,Leticia Radin Pereira
diet maternal health nutrition obesity,"diet, maternal health, nutrition, obesity",1,1,Leticia Radin Pereira
research diet maternal health nutrition obesity dr,"research diet, maternal health, nutrition, obesity dr",1,1,Leticia Radin Pereira
mechanism of cancer metastasis,mechanism of cancer metastasis,1,1,Lian Willetts
clinical applications in the diagnosis,clinical applications in the diagnosis,1,1,Lian Willetts
research mental health spinal cord nerve injury amp,research mental health spinal cord / nerve injury &amp,1,1,Lori Montgomery
mental health spinal cord nerve injury amp,mental health spinal cord / nerve injury &amp,1,1,Lori Montgomery
care of people with dementia,care of people with dementia,1,1,Lorraine Venturato
learning cultures,learning cultures,1,1,Lorraine Venturato
culture change and practice development,culture change and practice development,1,1,Lorraine Venturato
practice development learning cultures,practice development learning cultures,1,1,Lorraine Venturato
aging and place,aging and place,1,1,Lorraine Venturato
model of care for frail older people healthy aging aging and place,model of care for frail older people healthy aging aging and place,1,1,Lorraine Venturato
learning cultures professional practice models,"learning cultures, professional practice models",1,1,Lorraine Venturato
in the news steps to help maintain a healthy brain easy to do,in the news steps to help maintain a healthy brain easy to do,1,1,Lorraine Venturato
steps to help maintain a healthy brain easy to do,steps to help maintain a healthy brain easy to do,1,1,Lorraine Venturato
both clinical,both clinical,1,1,Luanne Marie Metz
first therapy in development is minocycline in,first therapy in development is minocycline in,1,1,Luanne Marie Metz
other therapies are under development,other therapies are under development,1,1,Luanne Marie Metz
chronic and acute electrophysiology,chronic and acute electrophysiology,1,1,Manuel Hulliger
behavioural analysis of motor patterns,behavioural analysis of motor patterns,1,1,Manuel Hulliger
histology and morphometry of sensory neurons,histology and morphometry of sensory neurons,1,1,Manuel Hulliger
morphometric analysis of functionally identified single neurons,morphometric analysis of functionally identified single neurons,1,1,Manuel Hulliger
movement control and rehabilitation,movement control and rehabilitation,1,1,Manuel Hulliger
kinematic and behavioural analysis of motor patterns,kinematic and behavioural analysis of motor patterns,1,1,Manuel Hulliger
movement control,movement control,1,1,Manuel Hulliger
acute electrophysiology kinematic,acute electrophysiology kinematic,1,1,Manuel Hulliger
behavioural analysis of motor patterns histology,behavioural analysis of motor patterns histology,1,1,Manuel Hulliger
morphometry of sensory neurons labelling,morphometry of sensory neurons labelling,1,1,Manuel Hulliger
research movement control,research movement control,1,1,Manuel Hulliger
environmental conditions,environmental conditions,1,1,Marc Poulin
high altitude physiology,high altitude physiology,1,1,Marc Poulin
healthy brain aging and dementia,healthy brain aging and dementia,1,1,Marc Poulin
integrative human physiology,integrative human physiology,1,1,Marc Poulin
in exercise physiology has shown,in exercise physiology has shown,1,1,Marc Poulin
modality for different clinical populations,modality for different clinical populations,1,1,Marc Poulin
ultimately this will translate into improved health and disease prevention for canadians,"ultimately, this will translate into improved health and disease prevention for canadians",1,1,Marc Poulin
exercise on the aging brain,exercise on the aging brain,1,1,Marc Poulin
in the news why you should be thinking about healthy aging now,in the news why you should be thinking about healthy aging now,1,1,Marc Poulin
healthy habit for your 60s train the brain,healthy habit for your 60s train the brain,1,1,Marc Poulin
why you should be thinking about healthy aging now,why you should be thinking about healthy aging now,1,1,Marc Poulin
boosting your brain s health,boosting your brain’s health,1,1,Marc Poulin
cognitive health,cognitive health,1,1,Marc Poulin
do you know how to keep your brain healthy,do you know how to keep your brain healthy?,1,1,Marc Poulin
seven healthy habits,seven healthy habits,1,1,Marc Poulin
brain health and the role of exercise on the aging brain,brain health and the role of exercise on the aging brain,1,1,Marc Poulin
u of calgary seeks brain study volunteers,u of calgary seeks brain study volunteers,1,1,Marc Poulin
brain magnetic resonance imaging,brain magnetic resonance imaging,1,1,Mariana Pinheiro Bento
frontiers in computational neuroscience deep learning and neuroimage processing in,frontiers in computational neuroscience: deep learning and neuroimage processing in,1,1,Mariana Pinheiro Bento
mariana bent0 digital health for precision in prevention,mariana bent0. digital health for precision in prevention,1,1,Mariana Pinheiro Bento
brain tumour patient treatment response clinical trials,brain tumour patient treatment response (clinical trials),1,1,Mark Giles Hamilton
deep vein thrombosis prophylaxis in brain tumor patients,deep vein thrombosis prophylaxis in brain tumor patients,1,1,Mark Giles Hamilton
treatment and outcomes,treatment and outcomes,1,1,Mark Giles Hamilton
hamilton specializes in paediatric neurosurgery,hamilton specializes in paediatric neurosurgery,1,1,Mark Giles Hamilton
outcomes summary of research dr,outcomes summary of research dr,1,1,Mark Giles Hamilton
department of pediatrics,department of pediatrics,1,1,Mark Giles Hamilton
cerebrospinal fluid disorders ishcsf,cerebrospinal fluid disorders (ishcsf)),1,1,Mark Giles Hamilton
canadian journal of neurological sciences,canadian journal of neurological sciences,1,1,Mark Giles Hamilton
current main clinical,current main clinical,1,1,Mark Giles Hamilton
ventricular shunt insertion infections in the neurosurgery,ventricular shunt insertion infections in the neurosurgery,1,1,Mark Giles Hamilton
risking the loss of neurological function,risking the loss of neurological function,1,1,Mark Giles Hamilton
significantly increases healthcare costs,significantly increases healthcare costs,1,1,Mark Giles Hamilton
